TOW_s,E_m,N_m,U_m
455342.0,0.18933486697456403,0.9334177762022597,6.165699927890825
455343.0,0.18974703742707,0.929874271041963,6.148799928273647
455344.0,0.18459491288240937,0.9163646672742174,6.15759993011706
455345.0,0.18037017003714317,0.9221228609668133,6.171799930550655
455346.0,0.1830492748666559,0.9079488472802266,6.161399932575733
455347.0,0.15883428848347436,0.9128211634382368,6.160499932320224
455348.0,-0.1719321343042921,0.9564505443676818,6.154399926298891
455349.0,-0.8973513218528875,0.9937680849997599,6.146499859437322
455350.0,-1.9602346830959019,1.0358472806213892,6.132599615518558
455351.0,-3.256715297427415,1.4198746391484804,6.108799010260826
455352.0,-4.29414687992662,2.3848150785610653,6.1228981063977574
455353.0,-5.036670614094007,3.6799656652080515,6.09669694484611
455354.0,-5.81340431072298,5.07223044710536,6.101195324489062
455355.0,-6.6100250039452035,6.5870783322579625,6.097593157361784
455356.0,-7.498250208823158,8.30390600756973,6.11599016210063
455357.0,-8.665101612693363,10.697985954050226,6.145785097468006
455358.0,-10.082448288356549,13.845724988633929,6.167976926332406
455359.0,-11.719068118795676,17.6409288112911,6.186464713937855
455360.0,-13.580628289059147,21.897120742864637,6.228847761651085
455361.0,-15.659400182370701,26.62681373535639,6.252524913211434
455362.0,-17.998867223326542,31.835655333997405,6.252594744247961
455363.0,-20.565334410506644,37.445578147131016,6.296056359876995
455364.0,-23.290999446455032,43.31074436163634,6.288409666175193
455365.0,-26.00223662567634,49.14003317745373,6.293056723943829
455366.0,-28.578486748539834,54.83345092007109,6.281899056094254
455367.0,-31.109293680913872,60.37206213854618,6.263436933890304
455368.0,-33.6496822407619,65.69529535160329,6.257071157966962
455369.0,-36.437164322852254,70.74667608835028,6.2207015326817405
455370.0,-39.84588631475419,75.17008344348184,6.168730293930182
455371.0,-43.88213467583382,78.66753171951821,6.132561412593539
455372.0,-48.39814843243841,80.96251702971827,6.116299888422226
455373.0,-53.04626548095528,81.97132383968209,6.157549988938364
455374.0,-57.60597591216303,81.85706226660291,6.17281193164721
455375.0,-61.955691430925015,80.68584096834084,6.220286183373489
455376.0,-65.93476938014864,78.61656252027163,6.258672288255298
455377.0,-69.71848255660723,76.20732958318071,6.318261465794912
455378.0,-73.50487678923004,73.67950106985063,6.391948834067978
455379.0,-77.15855371341723,71.21224436353025,6.450633874044534
455380.0,-80.50166259242636,68.88860968981243,6.527218229329552
455381.0,-83.67495843694553,66.63185806568622,6.571901511762288
455382.0,-86.54541358821402,64.5788569567342,6.62878445498043
455383.0,-89.29644379986884,62.49606799220369,6.676667408582006
455384.0,-92.19606217576268,60.277962729641224,6.714647633020128
455385.0,-95.44252246570302,57.917898719630976,6.777421888005517
455386.0,-99.22119643822482,55.526611459752544,6.823385629193542
455387.0,-103.70632714226964,53.39068358709555,6.877732647809129
455388.0,-108.77498221150773,51.84785467233769,6.893961055786967
455389.0,-114.10906735684392,51.33342053086703,6.905672083934988
455390.0,-119.65736997753038,51.80906696178138,6.918766591719816
455391.0,-125.1342543854435,53.77265515872091,7.048845202405147
455392.0,-130.5753739400682,56.501973397678434,7.098812464404734
455393.0,-135.91004485387856,59.807112367655776,7.183170779275198
455394.0,-140.89056056002164,63.331838655996705,7.47682855440015
455395.0,-145.69486855336692,66.29768396397512,7.368490374368516
455396.0,-149.89648788913144,69.02733005639011,7.434563949887533
455397.0,-153.37073988907122,70.94949412461153,7.497760189296024
455398.0,-155.9199894951252,72.08875629179626,7.519685568025846
455399.0,-157.78988571656086,72.7486415186119,7.472732071862943
455400.0,-159.4303101259335,73.20975661735119,7.464085993899243
455401.0,-161.21726439753888,73.27787670477713,7.45994031136367
455402.0,-162.78711722983329,72.5638769128458,7.454708663832754
455403.0,-163.8181673016552,71.39497390544886,7.417995538389679
455404.0,-164.33720480374953,70.14102248894773,7.473796180625882
455405.0,-164.42850566163042,69.61891030081696,7.476599578567615
455406.0,-164.43025785600219,69.61547773830601,7.493799570916764
455407.0,-164.4250027246857,69.60218948932273,7.488899850511739
455408.0,-164.43510130664092,69.59820333176759,7.5050996349599295
455409.0,-164.43242181831684,69.59056241920605,7.486599788925183
455410.0,-164.42830025281674,69.58945507539269,7.49069990663164
455411.0,-164.42654927407378,69.5834756812048,7.516900017380038
455412.0,-164.42531320653086,69.58391879356773,7.5340000442655715
455413.0,-164.42088214837707,69.57816042100609,7.522000222387124
455414.0,-164.4196459158752,69.57638876315787,7.531800272655516
455415.0,-164.4156269696366,69.57638859147625,7.520000376273529
455416.0,-164.41160836751885,69.56398624523746,7.516400615001622
455417.0,-164.4148026558132,69.56564729629054,7.516400514086161
455418.0,-164.4122260667065,69.57162673004092,7.498000517254749
455419.0,-164.40511608070773,69.57373058417613,7.49560067686075
455420.0,-164.40130302586456,69.58879029356399,7.482500609387316
455421.0,-164.39934428118116,69.62001714045127,7.458600317310118
455422.0,-164.39140904153948,69.62843249079754,7.4232004281629
455423.0,-164.39790013867272,69.6427171385752,7.407600106023054
455424.0,-164.39542616218768,69.65866254011095,7.376599994422406
455425.0,-164.3890368834761,69.680919921733,7.359699914153651
455426.0,-164.38965527517416,69.68723188295131,7.367699827861205
455427.0,-164.38501881821932,69.69254729962086,7.3867998897215195
455428.0,-164.38275116259518,69.69830518433712,7.360799886015716
455429.0,-164.38460557303245,69.72200234633524,7.357099577844885
455430.0,-164.37842278088877,69.73551183651207,7.352199586932109
455431.0,-164.37934968522708,69.7455885286796,7.33789945388158
455432.0,-164.3816166805098,69.74581005219444,7.340699392569448
455433.0,-164.3819259766082,69.74459204367326,7.346799397813339
455434.0,-164.38625395829604,69.7480249662049,7.356599248656504
455435.0,-164.38419299477886,69.76806792622952,7.359999081221694
455436.0,-164.3866653528792,69.77105752045034,7.33599898508314
455437.0,-164.38439778418274,69.78733526697049,7.317698864760029
455438.0,-164.37893643974257,69.80516349381034,7.320498808827672
455439.0,-164.38254210751032,69.8120287591769,7.2920986394434415
455440.0,-164.38923879475993,69.82930304323736,7.258598277332503
455441.0,-164.39799671939167,69.82852771223087,7.232998061871601
455442.0,-164.41613192768986,69.72620868280079,7.183498717898512
455443.0,-164.5979094745653,68.57634323421641,7.1520065655827345
455444.0,-165.4481377679775,65.83965951981949,7.1171135675771815
455445.0,-167.11262224849875,61.629551927263094,7.13481248632975
455446.0,-169.75344233114848,56.298489218395474,7.083992326073986
455447.0,-173.28054215825233,49.89585929622409,7.041851106128846
455448.0,-177.5748045525606,42.99238805243253,7.164483586816704
455449.0,-182.44610257485076,36.49277316101595,7.272986883996664
455450.0,-187.9480175266035,30.18938811178841,7.2465603304188395
455451.0,-193.94360866315455,24.19385309791268,7.208406619600019
455452.0,-200.33972455574727,18.732951906021388,7.210927491809816
455453.0,-206.9106880076928,13.805684350312731,6.8171304460159545
455454.0,-213.77133305115817,9.056818638475196,7.270012858191102
455455.0,-221.06887482425353,3.9292492601393922,7.318069465139722
455456.0,-228.5315902528059,-0.8823887953880951,7.259907721806361
455457.0,-235.92856015142823,-5.275226259164622,7.133936393444379
455458.0,-242.9610665896809,-9.06910301042856,7.103168221939262
455459.0,-249.44445855374983,-12.44175150586623,7.14811235847262
455460.0,-255.13832528959966,-15.148895755333541,7.077781356147603
455461.0,-259.77517503906284,-17.364173006734916,7.0256886029424646
455462.0,-262.3170275196765,-19.511601270488057,6.066478378109481
455463.0,-265.63290245934985,-19.841538263263324,7.517840186291461
455464.0,-265.51642825193363,-20.990627663905414,6.181241335519694
455465.0,-266.12253972834753,-21.329686967220095,6.393214955958813
455466.0,-266.62848718056716,-21.18705314072482,6.644094313710071
455467.0,-266.9194864467872,-21.158257769166006,6.818782245569886
455468.0,-267.18770640877995,-21.47982564538412,6.6851699390822725
455469.0,-267.2952828626129,-21.42013798994337,6.7077656353637485
455470.0,-267.40213683290096,-21.278063911406065,6.735861636274466
455471.0,-267.3840007949175,-21.259128610699612,6.730962460440667
455472.0,-267.465194509221,-21.170428708120735,6.674359353939412
455473.0,-267.6298533155503,-21.19943800294034,6.582452354446631
455474.0,-267.9366126714235,-21.218146934245215,6.6076394187697005
